user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,joined_years_ago,stats_mean_score,stats_rewatched,stats_episodes,Female,dummy_age_18to25,dummy_age_26to30,dummy_age_31+
2485327,66,3923,115,0,368,614.96,7,5.49,0,39893,1,0,1,0
149806,35,284,180,0,160,44.38,11,7.36,0,2670,0,0,1,0
4511507,14,1166,212,30,140,285.85,5,7.48,211,17031,0,1,0,0
16514,88,551,8,4,33,226.9,13,5.3,168,13365,0,0,0,1
4463,86,241,36,20,96,251.26,13,8.54,206,18805,1,0,0,1
1473307,13,621,27,51,79,143.81,8,6.93,1,8667,0,0,1,0
401053,160,203,34,87,103,106.25,10,7.45,26,6428,0,0,1,0
196882,31,627,5,0,154,170.19,11,8.39,204,10304,1,0,0,1
67771,8,331,38,146,51,103.29,12,7.31,20,6259,1,0,1,0
106366,57,605,279,15,256,147.41,12,9.13,0,8955,0,0,1,0
1749957,28,400,23,97,228,86.71,8,5.93,9,5272,0,1,0,0
9352,103,357,34,76,160,154.23,13,7.19,79,9140,0,0,0,1
3935001,0,1767,4,0,0,236.66,6,5.9,46,14674,0,0,0,1
388622,15,1055,49,0,90,183.79,10,7.55,0,11324,1,0,1,0
2060965,64,280,0,79,188,98.23,7,6.25,2,5989,0,0,1,0
36666,54,215,92,82,54,94.79,12,6.0,43,5692,0,0,0,1
514194,1,510,0,84,55,171.11,9,7.45,0,10266,0,0,1,0
167475,17,1559,20,5,140,484.86,11,5.26,158,29238,0,0,0,1
99312,15,1247,45,8,42,335.44,12,7.23,1,20191,0,0,0,1
87096,5,846,18,67,60,191.12,12,6.55,136,11294,0,0,0,1
3343571,29,420,46,116,635,143.52,7,6.58,20,8409,0,1,0,0
7538,8,733,0,98,0,213.21,13,7.22,3,12729,0,0,0,1
3933745,14,107,388,18,164,24.66,6,7.91,7,1703,0,0,1,0
547921,6,1636,22,37,312,448.06,9,7.49,1,27170,0,0,1,0
2528591,23,1007,0,0,564,220.41,7,10.0,1203,14420,0,1,0,0
18667,123,514,34,91,408,221.16,13,7.48,185,13314,0,0,0,1
4218491,6,1766,47,0,94,141.54,6,4.58,21,10990,0,1,0,0
61409,23,1198,0,136,49,261.65,12,6.85,18,16589,0,0,1,0
37102,37,515,55,38,211,157.64,12,7.34,9,9475,0,0,0,1
9072,26,640,90,11,410,205.23,13,8.25,8,12331,0,0,0,1
4414,40,459,100,29,74,147.32,13,7.25,32,8661,0,0,0,1
488555,56,394,42,20,82,148.31,9,7.85,114,8510,0,0,0,1
3997615,16,601,38,71,110,166.52,6,6.87,57,10014,0,1,0,0
371401,23,1073,10,227,121,160.08,10,6.67,384,11021,1,0,0,1
4578820,45,553,73,28,245,254.02,5,6.94,65,14980,1,0,1,0
195217,25,1179,8,88,136,243.36,11,7.33,10,14322,0,0,1,0
4112031,157,1009,1,50,49,427.5,6,7.56,63,25506,0,1,0,0
462675,48,558,218,105,437,202.99,9,8.39,0,12169,0,0,0,1
1300189,19,315,26,8,70,229.83,8,6.28,232,13678,1,0,1,0
14633,4,239,44,83,216,90.59,13,6.87,0,5500,1,0,1,0
2100565,28,585,138,289,759,146.17,7,6.5,129,8615,0,0,1,0
2411075,13,816,24,49,274,288.15,7,6.87,20,18706,0,1,0,0
32985,70,1013,10,47,41,245.71,12,6.96,4,14464,1,0,0,1
3748,16,381,2,156,0,112.01,13,6.84,0,6758,0,0,1,0
123015,1,189,284,30,0,39.96,12,7.45,0,2408,1,0,1,0
28162,12,2298,0,0,70,416.89,13,0.0,0,26316,0,0,1,0
23566,20,950,38,259,17,257.57,13,7.57,242,15173,0,0,0,1
231788,1,279,10,146,108,63.58,11,7.04,1,3633,0,0,0,1
55899,97,1000,98,38,186,309.94,12,7.47,2,18458,0,0,0,1
288989,20,1262,71,85,66,275.15,10,7.49,18,16291,0,0,0,1
3582615,6,402,23,121,105,123.79,6,5.67,22,7305,0,1,0,0
251414,29,1256,0,0,227,244.26,11,7.27,0,15155,0,0,0,1
2074253,7,498,40,28,145,120.35,7,7.38,94,7507,0,1,0,0
414621,1,1839,0,0,0,357.84,10,7.21,0,22605,0,0,0,1
65288,21,476,60,21,189,225.27,12,7.93,165,13275,0,0,0,1
225565,15,659,0,170,0,159.94,11,6.6,0,9929,1,0,1,0
400594,4,546,5,6,26,214.38,10,8.24,218,12692,1,0,1,0
236653,16,532,85,69,79,121.31,11,7.18,18,7683,0,0,1,0
1784003,24,336,87,43,354,108.53,8,7.31,30,6820,1,1,0,0
16707,37,1474,9,270,191,296.42,13,6.22,35,18067,1,0,0,1
3976645,32,613,57,26,155,720.36,6,7.34,379,43469,0,1,0,0
1576807,0,849,42,121,61,241.2,8,6.8,0,14108,0,0,1,0
97334,0,418,6,91,10,160.55,12,5.85,0,9536,0,0,0,1
504091,15,696,17,31,114,145.01,9,6.94,4,8834,1,1,0,0
48442,30,2189,0,0,57,493.01,12,6.53,0,30884,0,0,1,0
74211,4,318,56,63,13,101.34,12,5.67,43,5994,0,0,0,1
42712,1,575,0,0,29,370.85,12,8.7,586,22084,0,0,1,0
406279,11,548,20,224,261,166.01,10,4.74,20,10416,0,0,1,0
719277,21,703,14,11,440,159.6,9,7.39,49,9765,0,0,1,0
305780,59,489,53,112,310,106.7,10,6.34,0,6011,0,0,0,1
63732,18,652,0,57,8,215.81,12,7.68,76,12809,1,0,0,1
71441,41,1342,0,206,0,367.42,12,6.43,3,23009,0,0,0,1
43536,52,1441,1,0,44,462.16,12,7.92,0,27198,0,0,0,1
133002,3,1086,15,165,19,226.24,11,6.49,101,14936,1,0,0,1
403117,24,1930,117,0,488,813.6,10,6.58,507,50165,0,0,1,0
146139,26,896,83,90,508,176.39,11,7.21,43,11240,1,0,1,0
5548940,47,371,131,55,148,165.99,4,7.04,46,9908,0,1,0,0
1268759,7,518,2,98,36,149.78,8,6.07,25,8902,0,0,1,0
201996,97,690,166,18,190,113.61,11,7.13,0,7480,1,0,1,0
188334,39,260,26,112,97,84.28,11,7.28,25,5211,0,0,0,1
371472,26,1581,75,0,718,223.5,10,7.36,0,12981,0,0,1,0
89305,129,1308,2,0,88,442.98,12,7.03,0,27399,0,0,1,0
6660,18,251,21,119,34,111.88,13,7.34,43,6604,0,0,0,1
334143,9,1228,21,33,12,235.2,10,9.14,32,14577,0,0,1,0
205188,27,778,153,37,147,248.76,11,6.92,144,14854,0,0,0,1
53658,22,1235,1,28,0,311.29,12,8.01,0,18346,0,0,0,1
165360,31,709,69,20,142,179.62,11,7.35,18,10455,0,0,0,1
361936,50,686,10,32,76,195.03,10,7.49,72,11860,0,0,0,1
524973,46,718,76,10,278,140.56,9,9.21,0,8939,1,1,0,0
1305953,13,1119,6,0,207,256.07,8,6.34,39,16411,0,1,0,0
1999512,52,474,59,33,327,147.94,7,6.27,0,8630,0,1,0,0
425737,67,477,74,13,39,178.76,10,7.61,37,10836,1,1,0,0
94785,4,508,11,29,726,152.03,12,7.23,29,9409,0,0,1,0
5415266,3,737,7,75,149,215.22,4,6.08,103,12853,0,1,0,0
88458,3,307,1,125,18,80.49,12,7.31,0,4623,0,0,0,1
1338791,21,869,6,4,379,128.83,8,7.36,18,7758,0,0,1,0
168171,52,1656,58,24,30,919.01,11,7.47,2607,56121,0,0,0,1
1584779,29,786,20,117,103,154.54,8,8.35,0,9542,0,1,0,0
1193945,7,339,30,0,221,71.49,8,7.81,240,3112,0,0,0,1
452367,31,784,16,34,123,172.34,9,7.66,3,11181,0,0,1,0
476352,5,227,4,144,165,90.03,9,6.42,29,5351,1,0,1,0
261082,9,279,88,23,818,79.5,11,7.05,30,4726,0,0,1,0
361903,17,207,21,130,44,119.46,10,7.43,19,7297,1,0,1,0
357813,36,1165,48,71,94,307.54,10,8.89,14,18575,0,0,0,1
4105329,35,770,43,140,124,349.2,6,6.42,157,21766,0,1,0,0
1407861,44,564,41,35,143,170.58,8,7.29,0,10139,0,0,1,0
4674620,19,828,22,10,471,236.79,5,6.84,89,14484,0,0,0,1
69410,33,547,46,165,422,145.75,12,7.35,36,8532,0,0,1,0
55226,64,229,49,52,135,95.29,12,7.86,71,5433,1,0,1,0
1131697,8,654,6,0,132,229.17,8,7.98,393,14400,1,1,0,0
294198,39,4137,6,93,527,453.05,10,5.89,53,31932,0,0,0,1
500437,19,1411,0,0,19,341.51,9,6.74,228,20706,0,0,1,0
789325,7,514,27,61,76,125.59,9,8.13,45,7534,1,1,0,0
178456,18,765,61,62,110,285.18,11,7.26,116,17614,0,0,1,0
202008,8,1006,7,112,70,216.61,11,6.99,24,12257,0,0,0,1
3081649,8,265,98,72,694,58.96,7,0.0,23,3976,1,1,0,0
1541137,38,1982,0,0,2,365.87,8,6.78,0,23405,0,0,0,1
269464,2,700,5,76,92,192.01,11,6.38,91,11040,0,0,0,1
158617,0,666,1,103,2,143.82,11,8.17,0,8530,0,0,0,1
1179953,37,841,3,47,103,297.12,8,6.81,25,18099,0,0,1,0
1335681,21,617,64,165,74,118.15,8,7.12,41,7636,0,1,0,0
153888,15,1021,20,32,38,316.7,11,7.14,64,19083,1,0,0,1
133900,0,714,6,10,8,225.3,11,7.79,151,13595,0,0,1,0
57890,18,868,89,33,124,173.27,12,7.1,22,10420,0,0,0,1
1441291,1,27,399,0,2,1.16,8,9.86,0,38,0,0,1,0
131139,49,286,46,293,18,99.97,11,6.29,0,5864,0,0,0,1
21941,6,1264,8,143,1,265.17,13,6.47,0,17540,0,0,0,1
84581,32,1161,29,21,438,288.74,12,7.62,3,18260,1,0,0,1
27451,21,821,22,81,203,193.35,13,6.4,0,11968,1,0,0,1
92200,10,1439,4,8,112,132.14,12,6.23,0,9690,1,0,1,0
240470,9,275,18,29,20,432.36,11,7.35,373,25768,1,0,0,1
1886098,21,959,1,30,23,239.55,8,7.18,0,15383,0,1,0,0
267198,177,177,1,0,21,590.1,11,7.48,771,37241,0,0,0,1
37505,29,393,121,60,663,168.31,12,7.77,45,9952,0,0,1,0
4219207,1,603,21,178,57,174.11,6,6.87,57,10871,0,1,0,0
114218,7,855,49,104,46,192.07,12,6.87,12,12009,1,0,1,0
85592,20,302,55,104,14,78.56,12,7.49,0,4694,1,0,1,0
142683,11,509,3,367,0,144.84,11,6.8,0,8289,0,0,0,1
222482,53,939,2,74,22,279.38,11,7.15,9,16434,1,0,0,1
210733,7,1026,11,16,103,178.62,11,6.14,0,10775,1,0,1,0
4300067,14,662,49,102,144,255.04,6,7.96,4,15310,0,1,0,0
7518,67,453,53,48,46,119.94,13,8.07,67,7210,0,0,0,1
1457675,12,201,130,79,193,86.58,8,8.07,0,5182,0,0,1,0
120422,32,787,108,15,256,291.28,12,7.46,67,17324,1,0,0,1
375821,32,700,0,25,14,370.5,10,8.31,248,22513,0,1,0,0
2021235,29,430,29,82,176,152.03,7,6.32,1,9064,0,1,0,0
504413,15,889,54,21,19,185.67,9,7.48,28,11587,0,0,1,0
1016827,16,1046,46,89,162,224.5,9,6.95,5,13845,0,0,1,0
379463,31,666,24,60,51,193.19,10,7.01,57,11220,0,0,0,1
591643,24,857,77,54,270,183.53,9,7.36,7,11629,1,1,0,0
359108,0,834,68,7,282,172.7,10,7.18,203,9991,0,0,0,1
270281,6,241,127,37,310,87.63,11,7.66,31,5167,1,0,1,0
169254,179,1219,118,90,87,334.95,11,6.66,32,20300,0,0,0,1
452469,12,580,99,1,35,568.0,9,8.09,177,37510,0,0,0,1
1525263,14,417,71,34,111,156.52,8,8.72,88,9675,0,0,0,1
380641,4,611,73,44,13,161.23,10,5.48,0,9715,0,0,1,0
4846696,28,2176,4,0,91,453.24,5,7.12,0,27842,0,1,0,0
2792103,11,1796,0,0,204,506.95,7,6.13,4,31674,1,1,0,0
446791,130,222,27,63,140,114.03,9,6.94,0,6798,0,0,1,0
5637959,30,789,112,22,109,245.06,4,7.8,46,14648,0,1,0,0
30902,21,495,165,0,20,256.37,12,8.35,101,15306,0,0,0,1
46097,34,341,0,254,106,93.06,12,7.16,35,5671,0,0,1,0
349291,27,291,103,22,176,210.42,10,7.23,202,12737,0,0,1,0
1249555,33,488,146,0,458,85.74,8,7.22,0,5381,1,0,1,0
363092,59,1479,2,3,43,317.76,10,7.56,2,19029,0,0,1,0
1722,51,699,72,36,100,221.74,13,6.98,2,13415,0,0,0,1
10184,3,205,10,160,287,73.25,13,7.79,0,4378,1,0,1,0
461632,17,460,170,117,392,143.64,9,8.53,14,8840,1,0,0,1
2591411,10,775,11,40,316,147.35,7,7.31,80,9221,1,0,1,0
212061,15,425,10,119,123,117.13,11,8.46,2,7112,0,1,0,0
71933,1,936,39,150,16,232.69,12,6.42,136,13659,0,0,0,1
4518808,30,1317,19,44,39,262.03,5,6.84,6,16747,0,0,1,0
174689,20,655,8,88,103,207.37,11,7.59,60,12241,0,0,0,1
29503,3,382,190,54,249,172.81,12,7.52,9,10386,0,0,1,0
117251,6,927,15,97,90,200.42,12,5.97,0,12014,0,0,0,1
75090,55,649,11,114,4,242.86,12,7.78,0,14475,0,0,0,1
175632,24,622,38,99,87,227.61,11,7.12,247,13601,1,0,0,1
128607,75,132,182,30,10,76.89,12,6.76,0,4539,1,0,0,1
58433,46,1260,3,0,9,326.2,12,8.38,43,19529,0,0,0,1
300108,4,594,39,17,514,162.81,10,7.3,20,10181,1,0,1,0
241794,23,600,14,59,77,143.64,11,7.44,0,9030,0,0,1,0
3331887,28,1172,37,195,85,308.16,7,4.69,9,17959,0,0,1,0
533125,11,2346,9,0,129,421.93,9,6.1,0,28605,0,0,1,0
11135,26,508,194,79,134,113.21,13,7.74,6,6981,1,0,1,0
