user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,joined_years_ago,stats_mean_score,stats_rewatched,stats_episodes,Female,dummy_age_18to25,dummy_age_26to30,dummy_age_31+
2255153,3,49,1,0,0,55.31,7,7.43,0,3391,1,0,1,0
37326,45,195,27,25,59,83.7,12,6.15,6,4936,0,0,1,0
228342,25,414,2,5,11,167.16,11,8.27,1,10081,0,0,1,0
327311,5,5,0,0,0,15.2,10,9.7,6,920,1,1,0,0
326733,0,3,0,0,0,4.32,10,10.0,7,251,0,0,1,0
61677,79,224,0,3,84,126.17,12,7.77,2,7472,0,0,0,1
47167,6,0,0,0,2,7.71,12,9.33,5,473,0,1,0,0
15865,3,20,0,0,5,21.34,13,8.71,23,1234,0,0,1,0
253613,6,233,7,9,62,44.63,11,8.0,2,2652,0,0,1,0
144049,11,433,5,2,0,166.24,11,7.84,0,9893,0,0,0,1
1,4,230,8,89,60,133.32,16,7.37,58,7920,0,0,0,1
5309,3,29,5,2,20,24.58,13,7.73,0,1447,1,0,0,1
18867,6,146,15,25,15,63.02,13,7.84,0,3758,0,0,0,1
340873,22,655,2,3,212,131.89,10,8.02,0,8508,0,0,1,0
14658,5,0,0,1,0,3.65,13,8.33,7,5840,0,1,0,0
502599,15,35,2,6,70,17.2,9,7.91,1,1004,1,0,1,0
1537661,6,121,11,12,175,27.63,8,8.4,0,1602,1,0,0,1
19539,4,269,10,8,207,62.81,13,7.39,0,3606,0,0,0,1
60451,1,13,2,0,7,4.15,12,7.38,4,222,0,0,1,0
82964,17,623,2,12,27,254.2,12,7.46,20,15228,1,0,1,0
158248,4,621,14,8,64,284.76,11,5.15,66,17174,1,0,0,0
363955,25,172,7,0,0,74.55,10,9.45,3,4367,0,0,0,1
183036,15,389,26,27,4,131.97,11,7.25,20,8141,1,0,1,0
38501,1,84,4,2,2,23.89,12,7.52,4,1431,0,0,1,0
167812,14,39,17,14,87,29.12,11,7.7,10,1771,1,0,0,1
120128,0,52,2,1,6,35.31,12,5.96,0,2166,0,0,1,0
935,21,171,5,80,5,61.38,14,6.03,0,3725,1,0,0,1
441584,3,5,2,0,1,1.74,9,9.5,0,108,1,1,0,0
136418,17,276,0,6,57,129.04,11,8.58,117,7886,0,0,1,0
1024243,4,23,0,0,1,8.99,9,8.76,0,539,0,1,0,0
29393,18,121,13,1,300,86.15,12,7.86,155,4784,0,0,0,1
317746,3,74,14,60,70,64.92,10,7.57,4,3866,0,1,0,0
109554,16,177,25,32,33,88.72,12,7.36,0,5288,0,0,0,1
171689,2,11,5,0,52,7.1,11,9.15,3,407,0,0,1,0
210544,0,15,0,0,0,0.28,11,4.0,0,108,0,0,1,0
226604,4,5,0,0,10,13.76,11,8.88,0,805,1,1,0,0
54286,9,46,10,8,27,25.04,12,7.44,4,1440,0,0,1,0
89220,72,271,67,3,132,95.23,12,7.29,39,5550,0,0,0,1
1709713,3,182,8,0,90,49.29,8,7.79,0,2992,0,0,1,0
318001,2,14,3,9,2,10.98,10,9.5,0,657,1,1,0,0
297621,48,474,1,32,31,98.49,10,7.43,1,5666,0,0,1,0
185456,6,18,0,0,12,8.28,11,9.2,0,497,0,0,1,0
4266,3,92,2,10,5,58.27,13,7.88,65,3453,0,0,1,0
35522,18,562,30,16,125,151.99,12,8.59,2,9038,0,0,0,1
48172,4,4,0,0,1,1.66,12,9.0,0,496,0,0,0,1
445729,11,50,9,2,50,34.98,9,7.87,6,2138,1,1,0,0
6522,22,183,19,5,96,125.34,13,7.71,177,7064,1,0,0,1
1397853,12,259,0,0,14,81.82,8,8.96,5,4906,0,1,0,0
249192,4,265,1,14,79,71.95,11,7.02,35,4326,1,0,1,0
406417,43,46,29,1,74,19.5,10,7.25,0,1148,1,0,0,1
43988,20,282,56,17,289,124.57,12,8.16,16,7209,1,0,0,1
91301,14,218,20,2,2,99.49,12,8.78,41,5935,0,0,0,1
1084625,4,229,2,49,18,69.32,8,5.24,1,4209,0,0,1,0
511447,6,212,2,23,7,139.55,9,7.51,102,8232,1,1,0,0
2171033,32,238,28,0,125,97.6,7,6.78,40,5550,0,0,1,0
945191,3,52,7,1,9,41.32,9,8.34,16,2365,0,0,0,1
37219,1,7,0,0,0,6.99,12,9.0,0,421,0,0,1,0
231006,8,76,0,3,8,34.95,11,7.01,0,2076,1,0,1,0
20775,25,190,14,29,47,74.76,13,7.88,30,4470,0,0,0,1
1466623,5,10,1,4,1,23.43,8,7.12,0,1408,0,1,0,0
270298,52,180,40,43,154,52.83,11,7.18,0,3345,1,0,1,0
1384947,4,347,0,3,8,110.69,8,8.83,0,6700,0,1,0,0
149817,0,152,4,3,148,69.77,11,9.33,0,4092,0,0,0,1
375026,3,66,31,1,225,24.32,10,8.52,11,1579,1,0,1,0
83582,3,141,7,4,48,97.09,12,7.05,8,5674,0,0,0,1
14013,43,372,4,7,27,181.9,13,6.93,149,10887,0,0,0,1
32044,4,2,1,0,0,4.65,12,7.14,0,281,0,0,0,1
500649,10,47,10,2,63,18.31,9,8.4,0,1179,1,1,0,0
82645,8,27,4,0,24,9.03,12,8.57,9,531,1,0,1,0
300808,33,217,2,14,100,82.87,10,6.88,2,4849,0,0,1,0
214621,0,2,3,2,1,1.86,11,7.13,0,110,1,0,1,0
325327,1,1,0,0,0,0.61,10,7.0,0,35,0,0,0,1
3895,1,716,1,12,59,214.95,13,7.96,16,12829,0,0,0,1
46743,3,402,10,10,5,129.15,12,6.7,7,7758,0,0,0,1
192396,39,528,7,5,98,246.21,11,7.84,15,14721,0,1,0,0
45717,2,462,0,0,34,84.4,12,7.72,0,5208,0,0,0,1
899971,2,433,0,32,94,109.08,9,9.78,0,6755,0,0,1,0
394192,1,37,4,1,123,8.52,10,8.24,0,571,1,1,0,0
51780,2,17,0,0,6,5.08,12,8.75,0,279,0,0,0,1
32140,15,144,4,1,9,76.69,12,8.03,0,4532,0,0,0,1
342230,99,398,50,0,78,121.78,10,8.33,6,7178,0,0,1,0
94032,1,69,43,9,119,28.85,12,7.21,0,1693,1,0,1,0
154335,25,329,1,11,6,100.53,11,7.22,0,5855,0,0,0,1
