user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,joined_years_ago,stats_mean_score,stats_rewatched,stats_episodes,Female,dummy_age_18to25,dummy_age_26to30,dummy_age_31+
102436,2583,102,0,0,22,30.86,12,8.49,0,1829,0,0,0,1
4420327,45,443,4,0,1450,160.69,5,6.88,7,9793,0,1,0,0
4554438,139,271,55,5,230,44.08,5,8.91,27,2690,1,0,0,1
486294,131,895,167,4,1062,137.6,9,7.35,24,9897,1,0,1,0
56307,85,520,52,0,510,94.29,12,7.1,0,5706,0,0,0,1
288152,11,688,10,0,3746,149.76,10,5.48,9,9781,0,0,1,0
239016,167,273,0,4,234,92.65,11,8.92,0,5593,0,0,1,0
47628,4,58,3,3,1454,12.33,12,9.21,0,642,0,0,1,0
3529703,402,346,73,11,266,114.62,6,8.38,1,7004,0,1,0,0
1665963,299,489,62,11,195,155.3,8,7.89,2,9233,0,0,1,0
1237503,34,219,230,0,1525,52.04,8,6.62,16,3238,1,1,0,0
398614,152,1206,13,0,121,330.39,10,7.4,73,20217,0,0,0,1
112219,10,597,1,8,990,159.01,12,6.94,0,9375,0,0,0,1
3581943,174,187,0,4,266,95.47,6,7.24,2,5770,0,0,1,0
1032071,24,646,7,25,833,110.03,9,8.06,0,7112,0,0,0,1
269744,272,423,38,12,147,124.15,11,6.72,0,7462,0,0,1,0
5281326,144,331,0,0,444,45.22,4,8.17,0,3102,0,1,0,0
47680,130,200,6,2,644,43.82,12,8.78,32,2519,0,0,0,1
2520845,35,278,15,1,1804,59.77,7,7.85,23,3803,0,1,0,0
503383,19,421,39,13,822,143.13,9,8.09,0,8810,0,0,1,0
1087343,48,882,5,0,1509,171.45,8,8.15,0,10657,1,1,0,0
263301,194,573,8,6,152,448.56,11,8.58,278,25999,0,0,0,1
57976,183,1078,8,11,70,387.48,12,6.73,63,23297,0,0,0,1
18978,156,700,0,0,721,155.69,13,6.31,0,9527,0,0,0,1
3764707,169,372,0,0,1000,108.44,6,7.77,3,6708,0,0,1,0
61473,58,428,0,5,803,163.26,12,8.88,0,9771,0,0,1,0
4266313,120,951,0,0,294,224.76,6,7.07,0,13872,0,0,0,1
1599841,99,2065,32,38,828,371.47,8,8.29,211,24227,0,0,1,0
1423513,328,860,26,48,146,353.23,8,8.05,32,21512,0,0,1,0
4485110,229,92,24,15,471,21.21,5,7.82,0,1366,1,1,0,0
46915,527,884,0,0,39,194.35,12,6.65,68,11597,0,0,0,1
151196,181,351,5,0,57,337.1,11,8.49,0,18001,1,0,0,1
3437343,77,413,240,15,1502,55.87,7,8.33,8,3512,0,1,0,0
357706,400,351,25,20,58,113.99,10,7.46,4,7125,0,0,1,0
332444,109,315,43,15,350,77.25,10,6.46,15,4395,0,0,1,0
128889,89,1135,124,0,1006,412.52,12,8.36,209,26084,0,1,0,0
22970,782,687,132,0,972,58.0,13,7.59,3,3595,0,0,0,1
37533,58,993,191,17,867,294.94,12,8.09,73,17451,1,0,0,1
3892431,485,1527,0,0,126,184.89,6,7.26,0,13621,0,0,1,0
445979,171,449,8,51,99,140.79,9,7.53,3,8397,0,1,0,0
1591307,59,1117,109,23,912,127.97,8,7.36,28,9504,1,1,0,0
198058,32,285,174,0,1168,116.0,11,5.77,44,6986,0,0,1,0
4993802,64,666,54,0,635,124.33,5,7.23,32,7727,0,1,0,0
58049,76,313,35,33,862,71.42,12,7.15,1,4694,1,0,1,0
4536135,404,489,16,11,26,110.38,5,7.78,0,6677,0,1,0,0
4715783,31,237,104,61,892,79.98,5,9.44,0,5757,1,1,0,0
1264493,119,99,1,0,807,20.13,8,5.23,17,1297,0,1,0,0
539333,138,725,36,77,465,223.79,9,6.7,23,13844,1,0,0,1
214399,170,147,56,5,559,52.86,11,8.33,0,3130,1,0,1,0
633395,201,515,10,5,109,146.36,9,8.89,27,8781,1,0,0,1
339874,73,1219,21,1,864,262.93,10,7.76,0,17531,0,0,0,1
211345,14,197,95,0,1728,60.73,11,8.27,47,3392,0,0,0,1
1396511,317,441,30,0,130,130.05,8,6.98,83,7689,0,0,1,0
4739003,346,111,0,0,37,45.69,5,8.0,0,2737,0,1,0,0
3024977,52,75,17,13,729,56.51,7,8.93,5,3452,0,0,1,0
430775,122,500,0,0,3412,104.99,9,7.27,0,6429,0,1,0,0
90211,381,612,15,0,7,153.28,12,8.52,0,8846,0,0,0,1
1925602,135,147,93,0,267,56.37,8,8.44,33,3437,0,0,1,0
186962,170,894,87,0,3387,251.71,11,9.62,97,15278,1,0,1,0
1505011,22,965,0,0,1315,217.39,8,8.53,17,13749,1,1,0,0
4436915,97,109,290,8,296,15.49,5,7.74,0,941,1,1,0,0
278292,97,324,0,1,531,91.94,10,7.33,0,5680,1,0,1,0
448182,74,457,28,20,612,95.71,9,8.97,31,5454,0,0,0,1
477008,796,4403,1366,1070,6815,320.99,9,0.0,228,24377,0,0,1,0
3829411,77,473,49,12,771,132.45,6,7.03,15,9005,0,1,0,0
64421,557,443,22,76,508,148.78,12,6.71,0,9033,0,0,0,1
717529,40,452,0,0,3725,113.85,9,7.6,0,6515,0,0,0,1
4198823,380,655,3,0,116,157.72,6,9.93,0,9283,0,1,0,0
221221,30,166,20,0,830,90.8,11,9.97,85,5349,0,0,0,1
3338233,47,598,39,0,939,150.12,7,8.48,0,8944,0,0,1,0
1081027,111,540,1,58,466,130.94,9,8.32,1,8052,0,0,1,0
3646219,120,237,15,3,424,61.97,6,8.02,0,3679,1,1,0,0
333372,18,708,171,20,935,231.23,10,8.22,7,14179,1,0,1,0
4658897,60,1264,14,18,1093,332.83,5,7.4,77,21647,0,1,0,0
929621,90,1097,0,1,535,351.27,9,7.15,12,21195,0,0,0,1
4658131,43,361,53,0,1532,228.09,5,8.2,40,14710,0,1,0,0
4878498,49,503,33,28,1185,61.36,5,7.0,0,4832,1,1,0,0
2337053,233,701,13,8,68,218.42,7,6.34,160,12788,0,1,0,0
3161133,134,651,79,138,511,159.36,7,7.55,1,9445,0,1,0,0
235729,88,147,10,25,1446,113.59,11,8.37,4,7084,0,0,1,0
281476,55,516,124,2,782,204.59,10,7.88,18,12019,0,0,0,1
9172,120,176,92,16,583,88.7,13,9.02,2,5297,1,0,0,1
3284647,176,254,0,0,91,60.73,7,8.96,0,3715,0,0,1,0
3589131,119,124,0,0,791,29.37,6,9.06,0,1650,1,0,1,0
