user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,joined_years_ago,stats_mean_score,stats_rewatched,stats_episodes,Female,dummy_age_18to25,dummy_age_26to30,dummy_age_31+
4538087,1,314,0,1,160,80.22,5,0.0,0,4800,0,1,0,0
281011,0,0,0,0,0,0.0,10,0.0,0,0,0,0,0,1
79678,0,0,0,0,0,0.0,12,0.0,0,0,0,0,1,0
47269,0,0,0,0,0,0.0,12,0.0,0,0,0,0,1,0
105424,0,0,0,0,0,0.0,12,0.0,0,0,1,0,1,0
169463,11,2,0,0,0,0.28,11,0.0,0,17,1,0,1,0
234787,16,75,0,0,150,36.1,11,0.0,0,2172,1,0,1,0
975553,0,0,0,0,0,0.0,9,0.0,0,0,0,1,0,0
37640,0,0,0,0,0,0.0,12,0.0,0,0,0,0,1,0
75914,0,0,0,0,0,0.0,12,0.0,0,0,0,0,1,0
319190,0,0,0,0,0,0.0,10,0.0,0,0,1,0,1,0
1460593,0,0,0,0,1,0.0,8,0.0,0,0,1,1,0,0
13913,1,2,0,0,0,1.2,13,0.0,0,71,1,0,0,1
1263065,0,0,0,0,0,0.0,8,0.0,0,0,1,1,0,0
68321,0,0,0,0,0,0.0,12,0.0,0,0,0,0,1,0
69561,0,0,0,0,0,0.0,12,0.0,0,0,1,0,0,1
391101,7,1,0,0,0,0.42,10,0.0,0,25,1,0,1,0
350127,0,0,0,0,0,0.0,10,0.0,0,0,1,1,0,0
128424,0,0,0,0,0,0.0,12,0.0,0,0,1,1,0,0
40826,0,0,0,0,0,0.0,12,0.0,0,0,1,0,1,0
240915,0,0,0,0,0,0.0,11,0.0,0,0,0,0,1,0
4748583,0,0,0,0,0,0.0,5,0.0,0,0,1,1,0,0
192895,0,0,0,0,0,0.0,11,0.0,0,0,1,1,0,0
255641,9,453,0,43,121,165.28,11,0.0,0,9607,0,0,1,0
16279,14,189,41,0,120,67.81,13,0.0,0,4130,0,0,1,0
69451,1,9,0,0,0,2.06,12,0.0,0,109,1,0,1,0
69022,2,3,1,0,0,4.44,12,0.0,0,266,1,0,1,0
569015,21,133,26,3,226,57.41,9,0.0,0,3455,0,0,1,0
151989,0,0,0,0,0,0.0,11,0.0,0,0,0,0,1,0
