user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,joined_years_ago,stats_mean_score,stats_rewatched,stats_episodes,Female,dummy_age_18to25,dummy_age_26to30,dummy_age_31+
1897606,61,396,39,0,206,118.07,8,6.78,80,7094,1,1,0,0
5015094,35,114,6,20,175,30.81,5,7.86,0,1847,0,1,0,0
3129315,2,87,2,0,28,20.12,7,8.23,0,1314,1,1,0,0
5927342,7,4,0,0,4,2.09,4,7.4,0,121,0,0,0,1
2529849,9,184,6,8,39,41.15,7,7.19,1,2526,1,1,0,0
6951406,10,65,3,8,22,73.3,2,6.21,4,4455,0,1,0,0
2637159,3,148,6,1,110,118.16,7,7.14,282,7447,1,0,0,1
1933206,10,348,15,28,172,103.18,8,8.48,8,6255,0,1,0,0
4918730,5,353,2,2,54,99.66,5,7.27,10,6003,1,0,1,0
4845164,13,21,7,0,12,49.44,5,9.13,15,2978,1,1,0,0
6553594,32,419,15,3,122,181.52,3,9.05,140,11019,0,1,0,0
3791941,4,294,4,2,60,63.33,6,7.72,4,3860,0,1,0,0
4663748,1,25,3,22,17,10.2,5,6.98,0,637,0,1,0,0
5285183,18,166,4,8,41,95.75,4,8.35,0,5757,0,1,0,0
1560065,2,30,3,3,24,15.6,8,8.0,2,927,1,1,0,0
5158638,6,63,5,0,20,58.54,4,8.16,4,3488,0,1,0,0
4938576,16,123,12,5,193,37.15,5,7.4,13,2175,0,1,0,0
3234855,12,47,3,1,24,55.55,7,8.69,12,3264,0,1,0,0
1525261,0,61,1,1,25,23.01,8,8.26,0,1352,1,1,0,0
2324117,6,46,27,14,67,20.45,7,8.59,0,1261,0,1,0,0
6658717,17,14,1,16,9,11.55,3,7.0,0,693,0,0,0,0
5232217,102,183,6,2,62,235.25,4,8.47,0,14197,0,1,0,0
4437072,2,133,0,0,7,68.82,5,8.42,0,4066,0,1,0,0
1425283,13,327,26,23,138,115.47,8,7.43,0,7030,0,1,0,0
4696129,0,63,0,0,11,24.35,5,6.89,34,1448,0,1,0,0
1370053,1,257,70,2,205,79.51,8,6.41,0,4827,0,1,0,0
6923415,9,129,8,2,61,54.76,2,7.23,0,3366,0,1,0,0
2113371,19,733,11,0,50,109.12,7,8.33,0,7446,1,1,0,0
7088516,1,9,1,0,0,13.66,2,7.44,0,831,0,1,0,0
6188814,14,195,225,5,2,109.01,3,7.4,0,6714,0,0,1,0
