,episodes,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
0,12,7.63,139250,1274.0,231,283882,2809,24.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,26,7.89,91206,727.0,366,204003,2579,24.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,51,7.55,37129,1508.0,1173,70127,802,24.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
3,38,8.21,36501,307.0,916,93312,3344,16.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
4,25,8.67,107767,50.0,426,182765,2082,24.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
5,50,8.03,21618,526.0,1630,45625,826,24.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26,7.26,9663,2594.0,2490,22778,122,24.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
7,24,7.72,126085,1066.0,332,220591,1075,24.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
8,11,8.24,53908,281.0,988,85660,282,23.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9,26,8.34,335137,205.0,69,538843,24072,23.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
10,12,8.15,66565,374.0,799,108186,1123,24.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
11,26,8.2,315130,314.0,71,531292,14436,24.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
12,12,8.23,53285,288.0,945,89543,726,24.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
13,13,7.71,281448,1093.0,88,482105,4064,24.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
14,366,7.9,433097,693.0,18,819284,40718,24.0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
