,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
60,7.35,1050,2254.0,6165,2758,3,90.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
67,5.73,120,7936.0,9879,412,0,46.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
78,7.57,4073,1431.0,3511,11187,17,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
86,7.17,2361,2916.0,4822,5161,21,46.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
98,7.94,20831,634.0,1690,43396,230,89.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
100,5.97,318,7401.0,8226,1027,2,85.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
114,7.53,77292,1549.0,609,136486,732,100.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
158,7.89,3793,714.0,3781,9371,34,111.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
173,7.3,3174,2435.0,4302,6824,7,100.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
174,6.09,104,7103.0,9736,445,0,70.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
197,7.87,3574,769.0,4080,7811,116,95.0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
200,7.87,1372,769.0,5058,4550,6,51.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
201,7.22,34768,2740.0,1392,57451,239,50.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
203,7.16,707,2983.0,6499,2371,4,70.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
208,7.88,70849,731.0,796,108779,495,76.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
209,7.57,66287,1423.0,903,95471,165,85.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
214,8.18,2481,332.0,2181,28352,87,135.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
220,6.81,273,4263.0,8170,1057,2,50.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
