anime_id,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
1381,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
16251,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
15813,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2199,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15771,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3675,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
6922,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
34430,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1969,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3813,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1921,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
29830,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
459,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
31486,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10218,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
14837,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
34438,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7435,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
821,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
28211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
560,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
30952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2171,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
34498,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4124,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1925,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
6172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
33183,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
780,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
28913,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1686,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
36519,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3016,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
33820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1366,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1429,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
399,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3889,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2722,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21395,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29829,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
219,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
33687,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1622,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2334,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9857,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
24921,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1416,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
523,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21473,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
25687,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
27821,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
936,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
32281,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1364,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
757,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
7311,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1681,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
20969,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23987,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4437,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
512,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1096,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
21031,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1034,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1549,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33729,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
32071,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
416,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
2267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
987,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
732,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
997,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
2621,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
779,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
3784,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
760,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
28625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
34537,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1481,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0
23775,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5369,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1777,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
6783,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1961,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
35206,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3762,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
531,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
441,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3015,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4522,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
7222,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1135,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
31763,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2289,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3745,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
2107,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1723,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
17113,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
24459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2698,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
8546,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13271,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
8098,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
21419,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
32888,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
164,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
8364,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
13391,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31829,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1117,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
903,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
917,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
585,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
14407,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
869,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
13215,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8362,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1413,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
431,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
