anime_id,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
11013,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2104,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
5262,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
721,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
12365,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
6586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
2787,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
4477,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
853,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
4814,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
7054,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
11123,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
14227,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
269,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
59,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
6045,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1735,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
210,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4224,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
10030,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
74,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4722,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
14397,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1557,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
10800,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3731,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9513,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
5835,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9863,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7817,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
120,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
957,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
1974,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
857,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1914,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
249,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
6645,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5690,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1571,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11759,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
7674,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
1698,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
14713,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
232,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
233,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9656,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
9926,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
2564,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3092,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
1579,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
32370,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
153,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1051,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
12447,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
8022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
33775,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26443,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
36847,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24275,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1811,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
812,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
7791,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
747,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
8726,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33462,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1586,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
20057,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30347,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
18893,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
238,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
27989,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36838,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24031,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
22273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11769,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8986,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
33337,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34350,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36982,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
534,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
32032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30694,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
14355,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
11827,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
35240,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10197,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1587,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10588,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6702,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
19841,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
22225,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
146,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
21267,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1483,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1640,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
7082,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10521,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3335,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2520,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4130,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27727,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2617,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
33094,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
209,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
30721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7593,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
7411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1016,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2051,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
26349,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2762,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
32792,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
15809,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3627,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
1151,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15125,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7193,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13585,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
808,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
6890,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
35507,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37150,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
9074,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
15819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2476,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
19871,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5060,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5322,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
546,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2618,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9754,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4918,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
33095,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1149,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
3747,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5041,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6707,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
236,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1488,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
24873,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5984,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12191,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
33018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11061,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
23623,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
32983,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33028,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
5682,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
382,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
7176,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1726,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8277,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
21681,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36793,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
254,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
